label,h,d,h_prime,k,a,w,l,swn,mmax,security,size,keygen_C,sign_C,verify_C,verify_worst_C,c_per_byte,c_per_byte_worst
w=256,48,2,24,7,20,256,18,0,0,128.0,3712,77443629054.0,154916618229.0,4990.0,9070.0,1.3442887931034482,2.443426724137931
w=32,50,2,25,6,20,32,28,0,0,128.0,3728,30400315390.0,60825796599.0,1235.0,2041.0,0.3312768240343348,0.5474785407725322
w=32,50,2,25,7,17,32,28,0,0,128.0,3728,30400315390.0,60804300789.0,1234.0,2040.0,0.3310085836909871,0.5472103004291845
w=256,42,2,21,11,13,256,18,0,0,128.0,3728,9680453630.0,19361267694.0,4989.0,9069.0,1.3382510729613735,2.4326716738197427
w=256,44,2,22,8,18,256,18,0,0,128.0,3728,19360907262.0,38730203123.0,4991.0,9071.0,1.3387875536480687,2.433208154506438
w=256,45,3,15,7,18,256,18,0,0,128.0,3728,151257086.0,461111283.0,7257.0,13377.0,1.9466201716738198,3.5882510729613735
w=256,46,2,23,10,14,256,18,0,0,128.0,3728,38721814526.0,77444284400.0,4990.0,9070.0,1.338519313304721,2.4329399141630903
w=256,46,2,23,15,9,256,18,0,0,128.0,3728,38721814526.0,77443659751.0,4986.0,9066.0,1.3374463519313304,2.4318669527896994
w=256,44,2,22,9,16,256,18,0,0,128.0,3744,19360907262.0,38724173809.0,4992.0,9072.0,1.3333333333333333,2.423076923076923
w=256,50,2,25,7,20,256,18,0,0,128.0,3744,154887258110.0,309803876341.0,4994.0,9074.0,1.3338675213675213,2.423611111111111
w=32,50,2,25,8,15,32,28,0,0,128.0,3760,30400315390.0,60801679347.0,1237.0,2043.0,0.32898936170212767,0.5433510638297873
w=256,42,2,21,12,12,256,18,0,0,128.0,3760,9680453630.0,19361103852.0,4992.0,9072.0,1.327659574468085,2.4127659574468083
w=256,42,2,21,13,11,256,18,0,0,128.0,3760,9680453630.0,19361013738.0,4991.0,9071.0,1.3273936170212766,2.4125
w=256,44,2,22,11,13,256,18,0,0,128.0,3760,19360907262.0,38722174958.0,4993.0,9073.0,1.3279255319148937,2.413031914893617
w=256,44,2,22,14,10,256,18,0,0,128.0,3760,19360907262.0,38721871849.0,4991.0,9071.0,1.3273936170212766,2.4125
w=256,46,2,23,8,18,256,18,0,0,128.0,3760,38721814526.0,77452017651.0,4995.0,9075.0,1.3284574468085106,2.413563829787234
w=256,48,2,24,10,14,256,18,0,0,128.0,3760,77443629054.0,154887913456.0,4994.0,9074.0,1.3281914893617022,2.4132978723404257
w=256,48,2,24,15,9,256,18,0,0,128.0,3760,77443629054.0,154887288807.0,4990.0,9070.0,1.327127659574468,2.4122340425531914
w=32,46,2,23,7,18,32,28,0,0,128.0,3776,7600078846.0,15207497717.0,1240.0,2046.0,0.3283898305084746,0.541843220338983
w=256,45,3,15,8,16,256,18,0,0,128.0,3776,151257086.0,455868401.0,7262.0,13382.0,1.9231991525423728,3.54396186440678
w=256,46,2,23,9,16,256,18,0,0,128.0,3776,38721814526.0,77445988337.0,4996.0,9076.0,1.3230932203389831,2.4036016949152543
w=256,46,2,23,17,8,256,18,0,0,128.0,3776,38721814526.0,77443646435.0,4990.0,9070.0,1.3215042372881356,2.4020127118644066
w=256,48,3,16,7,18,256,18,0,0,128.0,3776,302514174.0,914882547.0,7263.0,13383.0,1.9234639830508475,3.5442266949152543
w=32,44,2,22,8,16,32,28,0,0,128.0,3792,3800039422.0,7602175987.0,1241.0,2047.0,0.32726793248945146,0.5398206751054853
w=32,50,2,25,10,12,32,28,0,0,128.0,3792,30400315390.0,60800794608.0,1240.0,2046.0,0.3270042194092827,0.5395569620253164
w=256,40,2,20,8,19,256,18,0,0,128.0,3792,4840226814.0,9697230835.0,4999.0,9079.0,1.318301687763713,2.3942510548523206
w=256,40,2,20,10,15,256,18,0,0,128.0,3792,4840226814.0,9681764336.0,4998.0,9078.0,1.3180379746835442,2.393987341772152
w=256,42,3,14,7,19,256,18,0,0,128.0,3792,75628542.0,241565683.0,7265.0,13385.0,1.9158755274261603,3.529799578059072
w=256,44,2,22,12,12,256,18,0,0,128.0,3792,19360907262.0,38722011116.0,4996.0,9076.0,1.3175105485232068,2.3934599156118144
w=256,44,2,22,13,11,256,18,0,0,128.0,3792,19360907262.0,38721921002.0,4995.0,9075.0,1.317246835443038,2.3931962025316458
w=256,46,2,23,11,13,256,18,0,0,128.0,3792,38721814526.0,77443989486.0,4997.0,9077.0,1.3177742616033756,2.393723628691983
w=256,46,2,23,14,10,256,18,0,0,128.0,3792,38721814526.0,77443686377.0,4995.0,9075.0,1.317246835443038,2.3931962025316458
w=256,48,2,24,8,18,256,18,0,0,128.0,3792,77443629054.0,154895646707.0,4999.0,9079.0,1.318301687763713,2.3942510548523206
w=256,50,2,25,10,14,256,18,0,0,128.0,3792,154887258110.0,309775171568.0,4998.0,9078.0,1.3180379746835442,2.393987341772152
w=256,50,2,25,15,9,256,18,0,0,128.0,3792,154887258110.0,309774546919.0,4994.0,9074.0,1.3169831223628692,2.3929324894514767
w=32,46,2,23,9,14,32,28,0,0,128.0,3808,7600078846.0,15200747505.0,1242.0,2048.0,0.32615546218487396,0.5378151260504201
w=32,48,2,24,7,18,32,28,0,0,128.0,3808,15200157694.0,30407655413.0,1244.0,2050.0,0.32668067226890757,0.5383403361344538
w=256,48,2,24,9,16,256,18,0,0,128.0,3808,77443629054.0,154889617393.0,5000.0,9080.0,1.3130252100840336,2.384453781512605
w=256,48,2,24,17,8,256,18,0,0,128.0,3808,77443629054.0,154887275491.0,4994.0,9074.0,1.3114495798319328,2.3828781512605044
w=256,48,3,16,9,14,256,18,0,0,128.0,3808,302514174.0,908132335.0,7265.0,13385.0,1.9078256302521008,3.514968487394958
w=32,42,2,21,7,19,32,28,0,0,128.0,3824,1900019710.0,3814719477.0,1246.0,2052.0,0.32583682008368203,0.5366108786610879
w=32,46,2,23,8,16,32,28,0,0,128.0,3824,7600078846.0,15202254835.0,1245.0,2051.0,0.3255753138075314,0.5363493723849372
w=32,50,2,25,11,11,32,28,0,0,128.0,3824,30400315390.0,60800720878.0,1243.0,2049.0,0.3250523012552301,0.5358263598326359
w=32,50,2,25,12,10,32,28,0,0,128.0,3824,30400315390.0,60800679916.0,1242.0,2048.0,0.3247907949790795,0.5355648535564853
w=256,40,2,20,9,17,256,18,0,0,128.0,3824,4840226814.0,9685172209.0,5002.0,9082.0,1.3080543933054394,2.375
w=256,42,2,21,8,19,256,18,0,0,128.0,3824,9680453630.0,19377684467.0,5003.0,9083.0,1.30831589958159,2.375261506276151
w=256,42,2,21,10,15,256,18,0,0,128.0,3824,9680453630.0,19362217968.0,5002.0,9082.0,1.3080543933054394,2.375
w=256,46,2,23,12,12,256,18,0,0,128.0,3824,38721814526.0,77443825644.0,5000.0,9080.0,1.3075313807531381,2.3744769874476988
