cumulative_total,required_global_X,bottleneck_metric,h,d,k,a,w,size_bytes,size_X,keygen_X,sign_X,verify_X,cpb_X
449,1.4747,c_per_byte,48,6,17,13,32,7280,0.9267,0.7925,0.8149,1.3666,1.4747
450,1.4759,c_per_byte,40,5,18,10,32,6064,0.7719,0.7925,0.5471,1.1392,1.4759
451,1.4807,c_per_byte,42,6,22,10,32,7248,0.9226,0.3962,0.3438,1.3661,1.4807
452,1.4815,sign_C,40,5,13,16,16,6992,0.89,0.5,1.4815,0.755,0.8483
453,1.4819,c_per_byte,40,5,14,13,32,6032,0.7678,0.7925,0.6772,1.1378,1.4819
454,1.4852,c_per_byte,40,5,13,14,32,6016,0.7658,0.7925,0.8102,1.1374,1.4852
455,1.4858,c_per_byte,48,6,18,12,32,7216,0.9185,0.7925,0.7263,1.3647,1.4858
456,1.4858,c_per_byte,42,6,16,14,32,7216,0.9185,0.3962,0.6678,1.3647,1.4858
457,1.4858,c_per_byte,42,6,15,15,32,7216,0.9185,0.3962,0.978,1.3647,1.4858
458,1.4858,c_per_byte,40,5,15,12,32,6016,0.7658,0.7925,0.6052,1.1378,1.4858
459,1.4863,c_per_byte,42,6,20,11,32,7216,0.9185,0.3962,0.3687,1.3652,1.4863
460,1.4868,c_per_byte,42,6,24,9,32,7216,0.9185,0.3962,0.3299,1.3657,1.4868
461,1.4914,c_per_byte,42,6,17,13,32,7184,0.9145,0.3962,0.5016,1.3638,1.4914
462,1.4947,c_per_byte,48,6,21,10,32,7168,0.9124,0.7925,0.6557,1.3638,1.4947
463,1.4953,c_per_byte,40,5,12,15,32,5968,0.7597,0.7925,1.0539,1.136,1.4953
464,1.4959,c_per_byte,40,5,16,11,32,5968,0.7597,0.7925,0.5665,1.1364,1.4959
465,1.498,c_per_byte,48,6,23,9,32,7152,0.9104,0.7925,0.6425,1.3638,1.498
466,1.5027,c_per_byte,42,6,18,12,32,7120,0.9063,0.3962,0.413,1.3619,1.5027
467,1.5032,c_per_byte,48,6,19,11,32,7120,0.9063,0.7925,0.6792,1.3624,1.5032
468,1.5034,c_per_byte,40,5,19,9,32,5936,0.7556,0.7925,0.5353,1.136,1.5034
469,1.5114,c_per_byte,48,6,15,14,32,7072,0.9002,0.7925,0.9589,1.3606,1.5114
470,1.5119,c_per_byte,42,6,21,10,32,7072,0.9002,0.3962,0.3424,1.361,1.5119
471,1.5126,c_per_byte,40,5,11,16,32,5888,0.7495,0.7925,1.497,1.1336,1.5126
472,1.5132,c_per_byte,40,5,17,10,32,5888,0.7495,0.7925,0.5457,1.1341,1.5132
473,1.5138,c_per_byte,48,6,14,15,32,7056,0.8982,0.7925,1.2469,1.3596,1.5138
474,1.5143,c_per_byte,48,6,16,13,32,7056,0.8982,0.7925,0.8038,1.3601,1.5143
475,1.5153,c_per_byte,42,6,23,9,32,7056,0.8982,0.3962,0.3292,1.361,1.5153
476,1.5207,c_per_byte,42,6,19,11,32,7024,0.8941,0.3962,0.3659,1.3596,1.5207
477,1.5231,c_per_byte,48,6,17,12,32,7008,0.8921,0.7925,0.7207,1.3587,1.5231
478,1.5266,c_per_byte,48,6,22,9,32,6992,0.89,0.7925,0.6418,1.3587,1.5266
479,1.5266,c_per_byte,48,6,20,10,32,6992,0.89,0.7925,0.6543,1.3587,1.5266
480,1.5291,c_per_byte,42,6,15,14,32,6976,0.888,0.3962,0.6456,1.3578,1.5291
481,1.5302,c_per_byte,40,5,13,13,32,5808,0.7393,0.7925,0.6662,1.1313,1.5302
482,1.5302,c_per_byte,40,5,14,12,32,5808,0.7393,0.7925,0.5997,1.1313,1.5302
483,1.5315,c_per_byte,42,6,14,15,32,6960,0.8859,0.3962,0.9336,1.3568,1.5315
484,1.532,c_per_byte,42,6,16,13,32,6960,0.8859,0.3962,0.4905,1.3573,1.532
485,1.5333,sign_C,42,7,8,17,16,6912,0.8798,0.125,1.5333,0.9722,1.1049
486,1.5375,c_per_byte,40,5,12,14,32,5776,0.7352,0.7925,0.788,1.1304,1.5375
487,1.5381,c_per_byte,48,6,18,11,32,6928,0.8819,0.7925,0.6764,1.3564,1.5381
488,1.5381,c_per_byte,40,5,15,11,32,5776,0.7352,0.7925,0.5637,1.1309,1.5381
489,1.5391,c_per_byte,48,6,24,8,32,6928,0.8819,0.7925,0.6349,1.3573,1.5391
490,1.5406,c_per_byte,42,6,13,16,32,6912,0.8798,0.3962,1.4654,1.3555,1.5406
491,1.5411,c_per_byte,42,6,17,12,32,6912,0.8798,0.3962,0.4075,1.3559,1.5411
492,1.5447,c_per_byte,42,6,20,10,32,6896,0.8778,0.3962,0.341,1.3559,1.5447
493,1.5447,c_per_byte,42,6,22,9,32,6896,0.8778,0.3962,0.3285,1.3559,1.5447
494,1.5451,sign_C,45,5,10,16,16,6256,0.7963,1.0,1.5451,0.7332,0.9207
495,1.5474,sign_C,48,6,13,16,16,7680,0.9776,0.5,1.5474,0.8849,0.9052
496,1.5497,sign_C,48,8,8,17,16,7568,0.9633,0.125,1.5497,1.1012,1.1431
497,1.5521,c_per_byte,40,5,11,15,32,5712,0.7271,0.7925,1.0096,1.1285,1.5521
498,1.554,sign_C,42,6,14,16,32,7184,0.9145,0.3962,1.554,1.3633,1.4909
499,1.5559,c_per_byte,48,6,14,14,32,6832,0.8697,0.7925,0.9368,1.3531,1.5559
500,1.5565,c_per_byte,42,6,18,11,32,6832,0.8697,0.3962,0.3631,1.3536,1.5565
501,1.5565,c_per_byte,48,6,15,13,32,6832,0.8697,0.7925,0.7928,1.3536,1.5565
502,1.557,c_per_byte,48,6,21,9,32,6832,0.8697,0.7925,0.6411,1.3541,1.557
503,1.5575,c_per_byte,42,6,24,8,32,6832,0.8697,0.3962,0.3216,1.3545,1.5575
